Date,TWTR,KO,GM
2014-12-18,36.73,33.502487,25.406836
2014-12-19,37.080002,33.154739,26.255068
2014-12-22,38.43,33.470867,26.591156
2014-12-23,37.57,33.960888,26.855228
2014-12-24,37.610001,33.937172,26.751194
2014-12-26,37.599998,33.952988,26.991264
2014-12-29,36.419998,33.873951,27.68745
2014-12-30,35.860001,33.794918,28.079556
2014-12-31,35.869999,33.368134,27.93552
2015-01-02,36.560001,33.304905,27.879507
2015-01-05,36.380001,33.304905,27.471394
2015-01-06,38.759998,33.557808,27.887506
2015-01-07,37.279999,33.976688,28.679718
2015-01-08,39.09,34.387665,28.967791
2015-01-09,40.169998,34.008312,28.479662
2015-01-12,39.369999,33.700073,28.679718
2015-01-13,39.650002,33.692169,28.20759
2015-01-14,39.849998,33.636841,27.447386
2015-01-15,36.93,33.494587,26.751194
2015-01-16,37.310001,33.613132,26.951252
2015-01-20,37.57,34.111038,27.151308
2015-01-21,37.830002,34.269119,27.119299
2015-01-22,39.07,34.601067,27.063278
2015-01-23,39.419998,34.229607,27.007265
2015-01-26,40.099998,33.984596,26.967255
2015-01-27,38.919998,33.502487,26.743195
2015-01-28,37.150002,33.131031,26.279072
2015-01-29,36.68,33.2733,26.535139
2015-01-30,37.529999,32.538273,26.10302
2015-02-02,37.459999,32.870213,26.495131
2015-02-03,39.790001,32.90184,27.191313
2015-02-04,40.720001,32.941357,28.671719
2015-02-05,41.259998,33.028278,29.007805
2015-02-06,48.009998,32.759571,28.807753
2015-02-09,47.32,32.585693,28.807753
2015-02-10,46.259998,33.510387,30.024078
2015-02-11,47.5,33.486691,30.144106
2015-02-12,47.950001,33.328602,30.424183
2015-02-13,48.5,33.186352,30.104092
2015-02-17,48.029999,33.044098,29.80002
2015-02-18,47.82,32.980873,29.760006
2015-02-19,48.700001,33.281193,30.016077
2015-02-20,49.110001,33.170544,30.128109
2015-02-23,48.470001,33.075706,30.16012
2015-02-24,48.689999,33.297001,30.20813
2015-02-25,48.549999,33.233765,30.296148
2015-02-26,49.41,33.557808,30.056082
2015-02-27,48.080002,34.221699,29.856039
2015-03-02,48.150002,34.142673,30.09609
2015-03-03,47.709999,33.945076,30.24814
2015-03-04,47.57,33.589428,30.064087
2015-03-05,47.349998,33.510387,30.09609
2015-03-06,46.75,32.814899,29.479931
2015-03-09,47.59,32.712158,30.383532
2015-03-10,45.84,32.158913,30.294785
2015-03-11,46.27,31.692602,30.480341
2015-03-12,47.07,32.330124,31.004753
2015-03-13,46.66,31.80418,30.698174
2015-03-16,46.43,32.106991,31.125772
2015-03-17,46.93,32.282322,30.891806
2015-03-18,47.200001,32.354038,31.061222
2015-03-19,47.93,31.891838,31.182251
2015-03-20,48.439999,32.39389,31.359739
2015-03-23,48.459999,32.369968,31.133842
2015-03-24,51.470001,32.250443,30.536818
2015-03-25,49.5,32.234493,30.15764
2015-03-26,49.919998,32.154808,30.133425
2015-03-27,50.009998,31.939642,30.101158
2015-03-30,49.889999,32.282322,30.399668
2015-03-31,50.080002,32.314198,30.254442
2015-04-01,50.470001,32.417789,29.641291
2015-04-02,50.419998,32.417789,29.44766
2015-04-06,50.84,32.808266,29.576742
2015-04-07,52.869999,32.680767,28.826437
2015-04-08,52.299999,32.58514,29.133017
2015-04-09,52.169998,32.712646,29.27824
2015-04-10,51.939999,32.577164,29.504135
2015-04-13,51.619999,32.433723,29.366989
2015-04-14,51.200001,32.282322,29.431522
2015-04-15,51.299999,32.19466,29.80265
2015-04-16,52.029999,32.354038,29.915594
2015-04-17,50.66,32.114975,29.560616
2015-04-20,51.400002,32.401848,29.939793
2015-04-21,51.32,32.497478,29.980135
2015-04-22,51.73,32.919834,29.980135
2015-04-23,51.41,32.632954,28.979725
2015-04-24,50.82,32.58514,28.713486
2015-04-27,51.66,32.537319,28.866774
2015-04-28,42.27,32.48951,28.818369
2015-04-29,38.490002,32.266376,28.648949
2015-04-30,38.959999,32.32217,28.285896
2015-05-01,37.84,32.601078,28.57633
2015-05-04,37.880001,32.640919,28.560198
2015-05-05,37.419998,32.473572,28.245554
2015-05-06,37.259998,32.401848,28.051924
2015-05-07,37.709999,32.433723,28.140673
2015-05-08,37.59,32.656857,28.495653
2015-05-11,37.310001,32.624981,28.414982
2015-05-12,37.48,32.425751,28.027719
2015-05-13,37.720001,32.712646,28.076126
2015-05-14,37.330002,33.071247,27.955107
2015-05-15,37.099998,33.087189,28.164871
2015-05-18,37.279999,32.927803,28.277824
2015-05-19,37.5,32.919834,28.334299
2015-05-20,36.779999,32.951706,28.25362
2015-05-21,36.68,32.856083,28.705414
2015-05-22,36.599998,32.840145,28.802235
2015-05-26,36.509998,32.664833,28.657011
2015-05-27,36.41,32.768425,28.890978
2015-05-28,36.830002,32.784363,29.358917
2015-05-29,36.669998,32.640919,29.020067
2015-06-01,36.630001,32.624981,29.189489
2015-06-02,36.400002,32.664833,29.221764
2015-06-03,37.0,32.569183,28.995853
2015-06-04,36.709999,32.346066,28.673145
2015-06-05,37.0,31.95558,28.334299
2015-06-08,36.459999,32.00341,28.521786
2015-06-09,35.880001,32.035271,28.741865
2015-06-10,35.849998,32.138874,29.010866
2015-06-11,35.84,32.219212,28.978254
2015-06-12,35.900002,32.106739,29.108683
2015-06-15,34.669998,31.80945,28.904892
2015-06-16,34.82,32.203156,29.027163
2015-06-17,34.689999,32.355812,29.190191
2015-06-18,34.66,32.661125,29.508095
2015-06-19,35.860001,32.460258,29.434736
2015-06-22,35.549999,32.524536,29.499949
2015-06-23,35.369999,32.444199,29.589613
2015-06-24,35.169998,32.291531,28.660355
2015-06-25,35.169998,32.154938,28.285383
2015-06-26,35.259998,32.138874,28.024542
2015-06-29,34.209999,31.656792,27.08713
2015-06-30,36.220001,31.520208,27.16864
2015-07-01,35.400002,31.737144,26.932253
2015-07-02,35.720001,31.729099,27.08713
2015-07-06,35.43,31.672852,26.614349
2015-07-07,35.52,32.339745,26.785528
2015-07-08,34.759998,32.02639,25.424246
2015-07-09,34.360001,32.074593,25.277521
2015-07-10,34.91,32.452232,25.595423
2015-07-13,35.779999,32.669163,25.823664
2015-07-14,36.720001,33.078926,25.897026
2015-07-15,35.66,33.046799,25.619877
2015-07-16,36.099998,33.328022,24.95146
2015-07-17,35.669998,33.143208,24.984064
2015-07-20,35.810001,33.247665,24.861794
2015-07-21,36.630001,33.095005,24.772135
2015-07-22,36.09,32.862003,24.698767
2015-07-23,36.189999,32.813797,25.676935
2015-07-24,35.419998,32.492405,25.318275
2015-07-27,34.700001,32.57275,25.31012
2015-07-28,36.540001,32.580788,25.53021
2015-07-29,31.24,32.612926,26.043753
2015-07-30,31.469999,32.588825,26.011145
2015-07-31,31.01,33.00663,25.685089
2015-08-03,29.27,33.376217,25.823664
2015-08-04,29.34,33.625294,25.693239
2015-08-05,28.48,33.842236,25.758451
2015-08-06,27.540001,33.68153,25.970387
2015-08-07,27.040001,33.561012,25.87257
2015-08-10,29.5,33.488705,26.035601
2015-08-11,29.620001,33.328022,25.130793
2015-08-12,29.389999,33.151249,25.163403
2015-08-13,28.540001,33.022686,25.318275
2015-08-14,29.059999,33.143208,25.668783
2015-08-17,29.059999,33.22356,25.766603
2015-08-18,28.299999,33.18338,25.848114
2015-08-19,27.610001,32.765594,25.782904
2015-08-20,26.0,32.580788,25.138943
2015-08-21,25.870001,31.761232,24.128172
2015-08-24,25.17,30.837248,22.660919
2015-08-25,24.379999,30.523901,22.237043
2015-08-26,25.030001,31.118462,22.905457
2015-08-27,26.459999,31.552345,23.296728
2015-08-28,26.83,31.696972,23.639086
2015-08-31,27.790001,31.592514,23.997746
2015-09-01,27.030001,31.134535,23.345634
2015-09-02,27.82,31.25506,23.810266
2015-09-03,28.299999,31.463949,23.72875
2015-09-04,28.15,30.949739,23.541267
2015-09-08,27.18,31.25506,24.356411
2015-09-09,27.18,30.772976,24.144472
2015-09-10,27.709999,30.869389,24.755102
2015-09-11,27.389999,30.901808,24.878872
2015-09-14,26.9,30.877502,25.34922
2015-09-15,27.17,31.201666,25.57202
2015-09-16,27.75,31.728453,25.745304
2015-09-17,27.41,31.91485,25.836071
2015-09-18,27.959999,31.590673,25.175936
2015-09-21,27.379999,31.760868,25.266705
2015-09-22,26.83,31.436695,24.77985
2015-09-23,26.790001,31.412382,24.524046
2015-09-24,26.6,31.728453,24.293003
2015-09-25,25.290001,32.109348,24.268246
2015-09-28,25.26,32.0364,23.566853
2015-09-29,25.59,32.141766,24.053701
2015-09-30,26.940001,32.514561,24.771605
